,brief_title,conditions,date_processed,enrollment,id,intervention,location_countries,overall_status,sponsors,start_date,study_type,title
2752,Treatment of Critically Ill Patients With Covid-19 With Convalescent Plasma,SARS-ASSOCIATED CORONAVIRUS; COVID; SARS-COV INFECTION,"February 08, 2021",36,NCT04468009,CONVALESCENT PLASMA,ARGENTINA,Recruiting,Hospital de Infecciosas Francisco Javier Muniz,"June 25, 2020",Interventional,Treatment of Critically Ill Patients With Covid-19 With Convalescent Plasma
2753,Early Cognitive Assessment and Evolutionary Monitoring of Patients With Severe ARDS on COVID-19 Pneumonia Requiring Mechanical Ventilation,COVID,"February 08, 2021",30,NCT04468035,,FRANCE,Recruiting,Groupe Hospitalier Paris Saint Joseph,"June 1, 2020",Observational,Early Cognitive Assessment and Evolutionary Monitoring of Patients With Severe ARDS (Acute Respiratory Distress Syndrome) on SARS-CoV2 Viral Pneumonia Requiring Mechanical Ventilation
2754,Antiviral Agents Against COVID-19 Infection,COVID,"February 08, 2021",1005,NCT04468087,ATAZANAVIR; DACLATASVIR 60 MG; SOFUSBUVIR + DACLASTAVIR 60 MG; PLACEBO ATAZANAVIR; PLACEBO DACLATASVIR 60 MG; PLACEBO SOFUSBUVIR + DACLATASVIR 60 MG,BRAZIL,Not yet recruiting,Hospital do Coracao,"December 1, 2020",Interventional,"Antiviral for Adult Patients Hospitalized for SARS-CoV-2 Infection: a Randomized, Phase 2/3, Multicenter, Placebo Controlled, Adaptive, Multi-arm, Multi-stage Clinical Trial - Coalition Brazil COVID-19 IX: REVOLUTIOn"
2755,"The Study of Quadruple Therapy Zinc, Quercetin, Bromelain and Vitamin C on the Clinical Outcomes of Patients Infected With COVID-19",COVID,"February 08, 2021",60,NCT04468139,QUERCETIN; BROMELAIN; ZINC; VITAMIN C,SAUDI ARABIA,Recruiting,"Ministry of Health, Saudi Arabia","June 20, 2020",Interventional,"The Study of Quadruple Therapy Zinc, Quercetin, Bromelain and Vitamin C on the Clinical Outcomes of Patients Infected With COVID-19"
2756,Evaluation of an Alternative Method of Obtaining Viral RNA for the Detection of SARS-CoV-2 Virus Using PCR,COVID; SARS-CoV2; CORONAVIRUS INFECTION,"February 08, 2021",150,NCT04468217,"OBTAINMENT OF NASOPHARYNGEAL, OROPHARYNGEAL, BUCCAL, NASAL AND SALIVA SAMPLES",CHILE,Recruiting,Neurognos,"June 2, 2020",Observational,Evaluation of an Alternative Method of Obtaining Viral RNA for the Detection of SARS-CoV-2 Virus Using PCR
2757,The Heart Hive COVID-19 Study,COVID; CARDIOMYOPATHIES,"February 08, 2021",1000,NCT04468256,COVID-19 EXPERIENCE SURVEYS,UNITED KINGDOM,Recruiting,Imperial College London,"July 26, 2020",Observational,The Heart Hive COVID-19 Study: A Longitudinal Observational Study of the Impact and Clinical Outcomes of the COVID-19 Pandemic on Individuals With Heart Muscle Disease
2758,VRQOL in Cataract Patients During the COVID-19 Pandemic,SENILE CATARACT,"February 08, 2021",116,NCT04468308,QUESTIONNAIRE,AUSTRIA,Recruiting,Medical University Innsbruck,"September 8, 2020",Observational,Assessment of Vision-related Quality of Life (VRQOL) in Cataract Patients During the COVID-19 Pandemic
2759,Specimen Collection Study Protocol,FOCUS IN ON COLLECTING PAIRED SPECIMENS FOR MATRIX EQUIVALENCY,"February 08, 2021",40,NCT04468386,,UNITED STATES,"Active, not recruiting",Biomerica,"July 7, 2020",Observational,Specimen Collection Study Protocol; Internal Biomerica Normal Specimen Collection and Banking for Use in COVID-19 Serological Product Development
2760,Influence of COVID-19 on Vascular Endothelial Function,COVID; VASCULAR; DAMAGE,"February 08, 2021",203,NCT04468412,CAROTID ARTERY REACTIVITY TESTING,NETHERLANDS,"Active, not recruiting",Radboud University,"July 14, 2020",Observational,Influence of COVID-19 on Vascular Endothelial Function
2761,Characteristics of TraceTogether Users,CORONAVIRUS,"February 08, 2021",505,NCT04468581,USE OF MOBILE APPLICATION,SINGAPORE,Completed,Yale-NUS College,"April 3, 2020",Observational,Characteristics of TraceTogether Users
2762,To Determine the Efficacy of Neurokinin 1 Receptor Antagonist as a Therapeutic Tool Against Cytokine Storm and Respiratory Failure in Covid-19 Patients,"NEUROKININ 1 RECEPTOR, SUBSTANCE P, RESPIRATORY ILLNESS, INFLAMMATION, COVID, CORONAVIRUS","February 08, 2021",100,NCT04468646,NK-1R ANTAGONIST,PAKISTAN,Recruiting,Prof. Dr. Fridoon Jawad Ahmad,"June 15, 2020",Interventional,To Determine the Efficacy of Neurokinin 1 Receptor Antagonist as a Therapeutic Tool Against Cytokine Storm and Respiratory Failure in Covid-19 Patients
2763,Evaluation of Six-month HIV Treatment Dispensing in South Africa,HIV,"February 08, 2021",150945,NCT04468789,SIX-MONTH ARV DISPENSING,SOUTH AFRICA,Not yet recruiting,Boston University,April 2021,Observational,Evaluation of the National Department of Health's Six-month Antiretroviral Treatment Dispensing Demonstration Pilot in Primary Health Care Clinics in the Context of the COVID-19 Pandemic and Response in South Africa
2764,Do Childhood Measles and DTaP Vaccination Decrease the Mortality Rate Caused by COVID-19 in OECD Countries?,COVID; MEASLES VACCINE; MORTALITY,"February 08, 2021",32,NCT04468802,CASE FATALITY RATE,TURKEY,Completed,Kanuni Sultan Suleyman Training and Research Hospital,"February 1, 2020",Observational,Do Childhood Measles and DTaP Vaccination Decrease the Mortality Rate Caused by SARS CoV-2 in OECD Countries?
2765,Online Positive Psychology Intervention for Depression and Anxiety Due to COVID-19,ANXIETY; DEPRESSION; SLEEP DISTURBANCE,"February 08, 2021",128,NCT04468893,ONLINE INTERVENTION MENTAL HEALTH COVID-19,MEXICO,Recruiting,Universidad Internacional de Valencia,"May 20, 2020",Interventional,"Effectiveness of a Self-applied Positive Psychology Online Intervention Program ""Mental Health COVID-19"" in Mexican Population: A Randomized Controlled Trial."
2766,"Safety, Tolerability, and Pharmacokinetics of SAB-185 in Healthy Participants",COVID; SARS-CoV2,"February 08, 2021",28,NCT04468958,SAB-185; NORMAL SALINE,UNITED STATES,Recruiting,"SAb Biotherapeutics, Inc.","August 5, 2020",Interventional,"A Phase 1, Randomized, Double-Blind, Placebo-Controlled, Single and Multiple Ascending Dose Study of SAB-185 in Healthy Subjects"
2767,REgulatory T Cell infuSion fOr Lung Injury Due to COVID-19 PnEumonia,COVID; ARDS,"February 08, 2021",45,NCT04468971,CK0802; PLACEBO,UNITED STATES,Recruiting,"Cellenkos, Inc.","September 29, 2020",Interventional,"Phase 1 Double-Blinded, Randomized, Placebo Controlled Safety and Early Efficacy Trial of Cryopreserved Cord Blood Derived T-Regulatory Cell Infusions (CK0802) In The Treatment Of COVID-19 Induced Acute Respiratory Distress Syndrome (ARDS)"
2768,Tofacitinib in Hospitalized Patients With COVID-19 Pneumonia,COVID,"February 08, 2021",260,NCT04469114,TOFACITINIB 10 MG; PLACEBO,BRAZIL,"Active, not recruiting",Hospital Israelita Albert Einstein,"September 16, 2020",Interventional,"A Multicenter, Randomized, Double-blind, Placebo-controlled, Parallel-design Trial of Tofacitinib in Hospitalized Participants With COVID-19 Pneumonia"
2769,Interest of the Dosage of Ferritin / Glycosylated Ferritin in COVID-19,THE PROGNOSTIC VALUE OF FERRITIN; GLYCOSYLATED FERRITIN IN SARS-CoV2 INFECTION IN HOSPITALIZED COVID PATIENTS,"February 08, 2021",57,NCT04469153,NO INTERVENTION / EVALUATION OF THE FERRITIN AND GLYCOSYLATED FERRITIN BY STANDARD APPROVED SEROLOGICAL TESTS,FRANCE,Recruiting,Hospices Civils de Lyon,"June 29, 2020",Observational,Interest of the Dosage of Ferritin / Glycosylated Ferritin in COVID-19
2770,"Safety, Tolerability, and Pharmacokinetics of SAB-185 in Ambulatory Participants With COVID-19",COVID; SARS-CoV2,"February 08, 2021",21,NCT04469179,SAB-185; NORMAL SALINE,UNITED STATES,Recruiting,"SAb Biotherapeutics, Inc.","August 20, 2020",Interventional,"A Phase 1B, Randomized, Double-Blind, Placebo-Controlled, Single Ascending Dose Study of SAB-185 in Ambulatory Subjects With COVID-19"
2771,Treatment of COVID-19 by Nebulization of Inteferon Beta 1b Efficiency and Safety Study,COVID; INTERFERON; NEBULIZATION,"February 08, 2021",60,NCT04469491,INHALED TYPE I INTERFERON; WFI WATER NEBULIZATION,FRANCE,Suspended,"Centre Hospitalier Universitaire, Amiens","September 20, 2020",Interventional,Treatment of COVID-19 by Nebulization of Inteferon Beta 1b Efficiency and Safety Study
2772,A Phase 1b Trial to Evaluate Safety and Effect of SAR443122 on Immune System in Severe COVID-19,CORONAVIRUS INFECTION,"February 08, 2021",68,NCT04469621,SAR443122; PLACEBO,ARGENTINA,Completed,Sanofi,"July 17, 2020",Interventional,"A Phase 1b, Randomized, Double-blinded, Placebo-controlled Study to Evaluate the Safety and Immunomodulatory Effect of the RIPK1 Inhibitor SAR443122 in Hospitalized Patients With Severe COVID-19"
2773,Are SARS-CoV-2 Specific Antibodies a Correlate for Protection?,SARS-CoV2; COVID,"February 08, 2021",150,NCT04469634,"ASSESSING ANTIBODY RESPONSES, NEUTRALIZING CAPACITY AND MEMORY B-CELL FUNCTION",BELGIUM,"Active, not recruiting","Institute of Tropical Medicine, Belgium","July 31, 2020",Interventional,Are SARS-CoV-2 Specific Antibodies a Correlate for Protection?
2774,COVID 19 Seroprevalence Amongst Healthcare Workers in JHAH,COVID,"February 08, 2021",1200,NCT04469647,SEROLOGY TEST,SAUDI ARABIA,Enrolling by invitation,Johns Hopkins Aramco Healthcare,"July 19, 2020",Observational,COVID 19 Antibody Seroprevalence Amongst Healthcare Workers in Johns Hopkins Aramco Healthcare
2775,Impact of COVID-19 Pandemic on the Psychological Wellbeing of Healthcare Professionals in India,PSYCHOLOGICAL STRESS,"February 08, 2021",1300,NCT04469660,,INDIA,Recruiting,Max Healthcare Insititute Limited,"May 18, 2020",Observational,Impact of COVID-19 Pandemic on the Psychological Wellbeing of Healthcare
2776,Elmo Respiratory Support Project - COVID-19,COVID; RESPIRATORY FAILURE WITH HYPOXIA,"February 08, 2021",10,NCT04470258,ELMO PROJECT AT COVID-19: STUDY IN HUMANS; ELMO PROJECT AT COVID-19: PROOF OF CONCEPT AND USABILITY,BRAZIL,Recruiting,Escola de Saúde Pública do Ceará,"August 2, 2020",Interventional,Elmo Respiratory Support Project for Patients With Hypoxemic Respiratory Insufficiency in Covid-19: Proof Of Concept and Usability
2777,Melatonin Agonist on Hospitalized Patients With Confirmed or Suspected COVID-19,COVID; LUNG INJURY,"February 08, 2021",100,NCT04470297,RAMELTEON 8MG,,Not yet recruiting,Associação Fundo de Incentivo à Pesquisa,September 2020,Interventional,Adjuvant Therapeutic Effects of Melatonin Agonist on Hospitalized Patients With Confirmed or Suspected COVID-19
2778,Functional Exhaustion of T Cells in COVID19 Patients,T CELL DEFICIENCY,"February 08, 2021",100,NCT04470323,FLOW CYTOMETRY,EGYPT,Recruiting,Assiut University,"July 22, 2020",Observational,Functional Exhaustion of T Cells in COVID19 Patients
2779,COVID-19 IgG Antibodies in the Serum of Recovered Patients,COVID,"February 08, 2021",100,NCT04470414,IGG ANTIBODIES IMMUNOASSAY,EGYPT,Not yet recruiting,Assiut University,"August 1, 2020",Observational,COVID-19 IgG Antibodies in the Serum of Recovered Patients: a Longitudinal Study
2780,"A Study to Evaluate Efficacy, Safety, and Immunogenicity of mRNA-1273 Vaccine in Adults Aged 18 Years and Older to Prevent COVID-19",SARS-CoV2,"February 08, 2021",30000,NCT04470427,MRNA-1273; PLACEBO,UNITED STATES,"Active, not recruiting","ModernaTX, Inc.","July 27, 2020",Interventional,"A Phase 3, Randomized, Stratified, Observer-Blind, Placebo-Controlled Study to Evaluate the Efficacy, Safety, and Immunogenicity of mRNA-1273 SARS-CoV-2 Vaccine in Adults Aged 18 Years and Older"
2781,Role of Co-trimoxazole in Severe COVID-19 Patients,COVID; SEVERE COVID PATIENTS,"February 08, 2021",94,NCT04470531,ORAL CO-TRIMOXAZOLE,BANGLADESH,Recruiting,"Bangabandhu Sheikh Mujib Medical University, Dhaka, Bangladesh","July 12, 2020",Interventional,Role of Co-trimoxazole in Severe COVID-19 Patients
2782,Camostat Mesilate Treating Patients With Hospitalized Patients With COVID-19,SEVERE ACUTE RESPIRATORY SYNDROME,"February 08, 2021",264,NCT04470544,CAMOSTAT MESILATE; STANDARD OF CARE,UNITED STATES,Recruiting,Alan Bryce,"July 28, 2020",Interventional,"RECOVER: Phase 2 Randomized, Double-Blind Trial TREating Hospitalized Patients With COVID-19 With Camostat MesilatE, a TMPRSS2 Inhibitor"
2783,Relation Between Lab Finding and COVID-19 Severity,COVID,"February 08, 2021",100,NCT04470557,"D-DIMER,CBC.ESR,CRP,; LIVER FUNCTION TESTS ,SERUM FERRITIN AND PCR FOR COVID-19 .",,Not yet recruiting,Assiut University,"July 15, 2020",Observational,The Relationship Between Lab Finding and COVID-19 Severity: Multicenter Study
2784,Evaluating Clinical Parameters of COVID-19 in Pregnancy,COVID; 2019 NOVEL CORONAVIRUS INFECTION; COVID INFECTION,"February 08, 2021",116,NCT04470583,,UNITED KINGDOM,Recruiting,Chelsea and Westminster NHS Foundation Trust,"October 9, 2020",Observational,Evaluation of Clinical Parameters Following COVID-19 Infection in Pregnancy (COpregVID)
2785,Safety and Immunogenicity Study of an Inactivated SARS-CoV-2 Vaccine for Preventing Against COVID-19 in People Aged ⩾60 Years,COVID,"February 08, 2021",471,NCT04470609,LOW DOSAGE INACTIVATED SARS-COV-2 VACCINE ON A 0- AND 28-DAY SCHEDULE; MEDIUM DOSAGE INACTIVATED SARS-COV-2 VACCINE ON A 0- AND 28-DAY SCHEDULE; HIGH DOSAGE INACTIVATED SARS-COV-2 VACCINE ON A 0- AND 28-DAY SCHEDULE; PLACEBO ON A 0- AND 28-DAY SCHEDULE,CHINA,Enrolling by invitation,Chinese Academy of Medical Sciences,"July 10, 2020",Interventional,"A Randomized, Double-blind, Placebo-controlled, Phase Ib/IIb Trial of an Inactivated SARS-CoV-2 Vaccine in Healthy People Aged ⩾60 Years"
2786,Aprepitant Injectable Emulsion in Patients With COVID-19 (GUARDS-1),COVID,"February 08, 2021",100,NCT04470622,APREPITANT INJECTABLE EMULSION; SALINE PLACEBO,PUERTO RICO,Recruiting,Heron Therapeutics,"July 20, 2020",Interventional,"A Phase 2 Randomized, Double-Blind, Placebo-Controlled Study of Aprepitant Injectable Emulsion in Early Hospitalized Adult Patients With COVID-19"
2787,COVID-19 Infection at Samusocial in Paris: Descriptive and Serological Survey,SARS-CoV2 INFECTION,"February 08, 2021",220,NCT04470648,BLOOD TEST FOR SARS-COV2 SEROLOGY,FRANCE,Not yet recruiting,"Institut National de la Santé Et de la Recherche Médicale, France",July 2020,Observational,COVID-19 Infection at Samusocial in Paris: Descriptive and Serological Survey
2788,Is Thymus Size of Infants Who Born to COVID-19 Positive Mothers Associated With Neonatal Morbidities?,COVID; THYMIC HYPOPLASIA,"February 08, 2021",20,NCT04470739,CHEST X-RAY,TURKEY,Recruiting,Kanuni Sultan Suleyman Training and Research Hospital,"May 30, 2020",Interventional,Is Thymus Size of Infants Who Born to COVID-19 Positive Mothers Associated With Neonatal Morbidities?
2789,Impact on the OLAF Intervention to Prevent Post Traumatic Disorders During the Confinement.,POST TRAUMATIC STRESS DISORDER,"February 08, 2021",130,NCT04470869,PHONE CALL,FRANCE,Recruiting,"University Hospital, Toulouse","June 12, 2020",Interventional,Impact of the Psychiatric Intervention OLAF on the Post Traumatic Disorder in the Relatives of Patients Hospitalized in Intensive Care Unit During the SARS-Cov-2 Pandemic Confinement in France.
2790,Changes in Cellular Immune Profile During COVID-19 Infection,COVID; SARS-CoV2,"February 08, 2021",25,NCT04470999,LEUKAPHERESIS,UNITED STATES,Recruiting,"Serhat Gumrukcu, MD PhD","April 15, 2020",Interventional,Cellular Immune Profile Changes in Individuals With Active or Past COVID-19 Infection
2791,An Observational Cohort Trial of Outcomes and Antibody Responses Following Treatment With COVID19 Convalescent Plasma in Hospitalized COVID-19 Patients,COVID,"February 08, 2021",150,NCT04471051,,UNITED STATES,Recruiting,"University of Colorado, Denver","April 30, 2020",Observational,An Observational Cohort Trial of Outcomes and Antibody Responses Following Treatment With COVID19 Convalescent Plasma in Hospitalized COVID-19 Patients
2792,Whole-Virion Inactivated SARS-CoV-2 Vaccine (BBV152) for COVID-19 in Healthy Volunteers,COVID; SARS-CoV2 INFECTION,"February 08, 2021",755,NCT04471519,BBV152A - PHASE I; BBV152B - PHASE I; BBV152C - PHASE I; PLACEBO - PHASE I; BBV152A - PHASE II; BBV152B - PHASE II,INDIA,"Active, not recruiting",Bharat Biotech International Limited,"July 13, 2020",Interventional,"An Adaptive Phase 1, Followed by Phase 2 Randomized, Double-blind, Multicenter Study to Evaluate the Safety, Reactogenicity, Tolerability, and Immunogenicity of BBV152 in Healthy Volunteers"
2793,Telemedicine in Outpatient Covid-19 Patients,COVID; CARDIOVASCULAR RISK FACTOR,"February 08, 2021",600,NCT04471636,WITHINGS SCANWATCH,GERMANY,Recruiting,Ludwig-Maximilians - University of Munich,"September 18, 2020",Interventional,Munich Remote SpO2 and Electrocardiogram Assessment in Covid-19 Patients
2794,Hydroxy Chloroquine and Covid in RA Patients,COVID,"February 08, 2021",80,NCT04471649,,EGYPT,Recruiting,Tanta University,"June 15, 2020",Observational,Clinical Course of COVID-19 in Patients With Rheumatoid Arthritis Treated With or Without Hydroxychloroquine: a Case-control Study
2795,Italian Web-based Cross-sectional Survey on COVID-19,"COVID; SARS-COV INFECTION; SURVEY, FAMILY LIFE; EPIDEMIC DISEASE; SELF-ASSESSMENT","February 08, 2021",200000,NCT04471701,ENVIRONMENTAL EXPOSURE AND CLINICAL FEATURES,ITALY,Recruiting,"Institute of Biomedical Technologies-National Research Council, Italy","April 13, 2020",Observational,Italian Web-based EPICOVID19 Cross-sectional Survey
2796,Locally Produced Cloth Face Mask and COVID-19 Like Illness Prevention,COVID; RESPIRATORY ILLNESS,"February 08, 2021",40000,NCT04471766,CERTIFIED CLOTH FACE MASK PLUS PREVENTIVE INFORMATION; PREVENTIVE INFORMATION,GUINEA-BISSAU,Enrolling by invitation,Bandim Health Project,"July 20, 2020",Interventional,Evaluation of Locally Produced Cloth Face Mask on COVID-19 and Respiratory Illnesses Prevention at the Community Level - a Cluster-randomized Trial
2797,"Physiotherapy as a Complimentary Treatment in Reducing Viral-Load, Complications, Death, Expedite Discharge and Improve Quality of Life, Exercise Endurance and Capacity in Stroke Survivors With CoViD-19: A Clinical-Controlled Study",CORONAVIRUS INFECTION; STROKE,"February 08, 2021",30,NCT04471831,REHABILITATION EXERCISE PROTOCOL,,Not yet recruiting,"University of Lagos, Nigeria","July 13, 2020",Interventional,"Physiotherapy as a Complimentary Treatment in Reducing Viral-Load, Complications, Death, Expedite Discharge and Improve Quality of Life, Exercise Endurance and Capacity in Stroke Survivors With CoViD-19: A Clinical-Controlled Study"
2798,"Systematic Assessment of SARS-CoV-2 Neurotropic Capacity in Modestly and Critically Ill Patients, and Patients Who Died From COVID-19",COVID DISEASE,"February 08, 2021",40,NCT04472013,DATA COLLECTION FROM LUMBAR PUNCTURE; DATA COLLECTION FROM BLOOD DRAW; CNS MAGNETIC RESONANCE IMAGING (MRI) IMAGING; MICROSCOPY OF DEFINED BRAIN REGIONS ON AUTOPSY SPECIMENS,SWITZERLAND,Recruiting,"University Hospital, Basel, Switzerland","August 12, 2020",Observational,"Systematic Assessment of SARS-CoV-2 Neurotropic Capacity in Modestly and Critically Ill Patients, and Patients Who Died From COVID-19"
2799,Frequency of Perforated Appendicitis in Times of COVID-19,PERFORATED APPENDICITIS; COVID,"February 08, 2021",143,NCT04472052,APPENDECTOMY,GERMANY,Completed,University Hospital Tuebingen,"March 16, 2020",Observational,Incidence of Perforated Appendicitis in Times of Corona Crisis
2800,"Seroprevalence of Coronavirus Disease 2019 (COVID-19) Antibodies in a Vulnerable Neighbourhood, Buenos Aries Argentina",SARS-CoV2,"February 08, 2021",873,NCT04472078,SEROLOGICAL ASSAY OR IGG FOR SARS-COV-2,ARGENTINA,Completed,Hospital Italiano de Buenos Aires,"June 10, 2020",Observational [Patient Registry],"Seroprevalence of Antibodies to Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-COV-2) in a Vulnerable Neighbourhood, Buenos Aries Argentina"
2801,Study of Abatacept in the Treatment of Hospitalized COVID-19 Participants With Respiratory Compromise,COVID; SARS-CoV2,"February 08, 2021",129,NCT04472494,ABATACEPT; PLACEBO,PUERTO RICO,Recruiting,Bristol-Myers Squibb,"August 24, 2020",Interventional,"Phase 2, Randomized, Double-Blind Placebo Controlled Study of Intravenous Abatacept in the Treatment of Hospitalized COVID-19 Participants With Respiratory Compromise"
2802,Acupressure for COVID-19 Related Quality of Life and Stress,QUALITY OF LIFE; STRESS,"February 08, 2021",200,NCT04472559,SELF-ACUPRESSURE,,Not yet recruiting,"University of California, Los Angeles","December 25, 2020",Interventional,Randomized Controlled Trial of Acupressure for Health-Related Quality of Life and Perception of Stress Among Health Care Providers During the COVID-19 Pandemic
2803,Expanded Access to Convalescent Plasma for Treatment of COVID-19,COVID,"February 08, 2021",,NCT04472572,CONVALESCENT PLASMA,UNITED STATES,Available,Hackensack Meridian Health,,Expanded Access,Expanded Access to Convalescent Plasma for the Treatment of Patients With COVID-19
2804,Efficacy of Subcutaneous Ivermectin With or Without Zinc in COVID-19 Patients,CORONAVIRUS INFECTION; COVID; SARS-CoV2,"February 08, 2021",60,NCT04472585,IVERMECTIN INJECTABLE SOLUTION; INJECTABLE PLACEBO; ZINC; PLACEBO EMPTY CAPSULE,PAKISTAN,Recruiting,Sohaib Ashraf,"November 14, 2020",Interventional,Sub-cutaneous Ivermectin in Combination With and Without Oral Zinc: a Placebo Randomized Control Trial on Mild to Moderate COVID-19 Patients
2805,Colchicine/Statins for the Prevention of COVID-19 Complications (COLSTAT) Trial,SARS-CoV2,"February 08, 2021",466,NCT04472611,STANDARD OF CARE (SOC) AND COLCHICINE+ROSUVASTATIN,UNITED STATES,Not yet recruiting,Yale University,"August 1, 2020",Interventional,Colchicine/Statins for the Prevention of COVID-19 Complications (COLSTAT) Trial
2806,Testing the Efficacy and Safety of BIO101 for the Prevention of Respiratory Deterioration in COVID-19 Patients,COVID; SARS-CoV2,"February 08, 2021",310,NCT04472728,BIO101; PLACEBO,BELGIUM,Recruiting,Biophytis,"June 16, 2020",Interventional,"Adaptive Design Phase 2 to 3, Randomized, Double-blind, to Evaluate Safety, Efficacy, Pharmacokinetics and Pharmacodynamics of BIO101 in the Prevention of the Respiratory Deterioration in Hospitalized COVID-19 Patients"
2807,Repeated Employee Testing for Understanding Our Recovery to Normal,COVID,"February 08, 2021",200,NCT04472793,SARS-COV-2,UNITED STATES,Recruiting,"Children's Hospital Medical Center, Cincinnati","May 11, 2020",Observational,Repeated Employee Testing for Understanding Our Recovery to Normal
2808,Rapid Experimental Medicine for COVID-19,COVID,"February 08, 2021",60,NCT04473053,NAFAMOSTAT MESILATE; TD139; STANDARD CARE,UNITED KINGDOM,Recruiting,University of Edinburgh,"July 3, 2020",Interventional,Rapid Experimental Medicine for COVID-19 - DEFINE COVID-19
2809,Optimising Resource Allocation Via Prediction of Outcomes for Covid-19,COVID,"February 08, 2021",500,NCT04473105,,UNITED KINGDOM,Recruiting,Nottingham University Hospitals NHS Trust,"May 1, 2020",Observational,Optimising Resource Allocation Via Prediction of Outcomes for Suspected and Proven Covid-19
2810,Assessment of Mental Health in Healthcare Workers Exposed to COVID-19 Patients,COVID,"February 08, 2021",25000,NCT04473118,SURVEY,QATAR,Recruiting,Hamad Medical Corporation,"July 11, 2020",Observational,"Burnout, Anxiety, Depression, Stress (BADS) and Post-Trauma Stress Disorder (PTSD) in Healthcare Workers Exposed to COVID-19 Patients"
2811,Immune Profiling of COVID19-patients Admitted to ICU,COVID,"February 08, 2021",300,NCT04473131,NO INTERVENTION,QATAR,Recruiting,Hamad Medical Corporation,"April 27, 2020",Observational,Immune Profiling of COVID-19-infected Patients Admitted to the Intensive Care Unit (ICU): the IMPROVISE Study
2812,COVID-19 in Patients With Anosmia in Egypt,ANOSMIA; COVID; DYSGEUSIA,"February 08, 2021",58,NCT04473157,,EGYPT,Completed,Ain Shams University,"July 1, 2020",Observational,Detection of SARS-CoV-2 in Patients Presenting With Anosmia During COVID-19 Pandemic Era in Egypt
2813,Study Evaluating the Safety and Efficacy of Autologous Non-Hematopoietic Peripheral Blood Stem Cells in COVID-19,CORONAVIRUS DISEASE 2019 (COVID),"February 08, 2021",146,NCT04473170,AUTOLOGOUS NON-HEMATOPOIETIC PERIPHERAL BLOOD STEM CELLS (NHPBSC); COVID-19 STANDARD CARE,UNITED ARAB EMIRATES,Completed,Abu Dhabi Stem Cells Center,"April 4, 2020",Interventional,"Adaptive Open-label Study Evaluating the Safety and Efficacy of Autologous Non- Hematopoietic Peripheral Blood Stem Cells Therapy in COVID-19 Outbreak in Abu Dhabi, 2020 (SENTAD-COVID Study)"
2814,Epidemiologic Assessment of SARS-CoV-2 (COVID-19) Prevalence in Minnesota,COVID; SARS-COV INFECTION; SARS-CoV2; CORONAVIRUS INFECTION,"February 08, 2021",3000,NCT04473183,SPECIMEN COLLECTION; SURVEYS,UNITED STATES,Recruiting,University of Minnesota,"July 21, 2020",Observational,Epidemiologic Assessment of SARS-CoV-2 Prevalence in Minnesota
2815,Spartan COVID-19 System: Evaluation of Clinical Sample Collection,COVID,"February 08, 2021",27,NCT04473248,SPARTAN COVID-19 SYSTEM,CANADA,Completed,Spartan Bioscience Inc.,"June 28, 2020",Interventional,Evaluation of Clinical Sample Collection Project: Spartan COVID-19
2816,Efficacy of Iodine Complex Against COVID-19 Patients,COVID; SARS-CoV2; CORONAVIRUS INFECTION,"February 08, 2021",200,NCT04473261,IODINE COMPLEX; IODINE COMPLEX; PLACEBO; IDOINE COMPLEX,PAKISTAN,Recruiting,Sohaib Ashraf,"July 14, 2020",Interventional,Efficacy of Iodine Complex in Mild to Moderate COVID-19 Patients
2817,"GlitazOne Treatment for Coronavirus HypoxiA, a Safety and Tolerability Open Label With Matching Cohort Pilot Study",CORONAVIRUS INFECTION; DIABETES,"February 08, 2021",10,NCT04473274,PIOGLITAZONE,UNITED STATES,Completed,Samaritan Health Services,"May 21, 2020",Interventional,"GlitazOne Treatment for Coronavirus HypoxiA, a Safety and Tolerability Open Label With Matching Cohort Pilot Study"
2818,Assessment of Lung Recruitablity of Acute Respiratory Distress Syndrome With SARS-CoV-2 Pneumonia by Electrical Impedance Tomography,CRITICAL ILLNESS; ARDS,"February 08, 2021",20,NCT04473300,,JAPAN,Recruiting,Osaka University,"May 11, 2020",Observational,Assessment of Lung Recruitablity of Acute Respiratory Distress Syndrome With SARS-CoV-2 Pneumonia by Electrical Impedance Tomography: a Prospective Observational Study
2819,COVID-19 Detection Tests in Different Body Fluids,COVID,"February 08, 2021",80,NCT04473352,,,Not yet recruiting,Nucleo De Pesquisa E Desenvolvimento De Medicamentos Da Universidade Federal Do Ceara,September 2020,Observational [Patient Registry],Diagnostic Accuracy of COVID-19 Detection Tests in Different Body Fluids of Infected Men and Concordance With Viral Cultures
2820,Rapid Diagnostic Profiling of SARS-CoV-2 (COVID-19),SARS-CoV2; COVID,"February 08, 2021",186,NCT04473365,,ETHIOPIA,Recruiting,Mekelle University,"July 20, 2020",Observational,Rapid Diagnostic Profiling of SARS-CoV-2 in the Context of Persistent Immune Activation in Sub-Saharan Africa (Profile-Cov)
