,condition,date_processed,enrollment,id,intervention,location_countries,overall_status,sponsors,start_date,study_type,title,study_topic
2658,COVID,"February 08, 2021",100,NCT04459325,TIGERASE® AND BEST AVAILABLE CARE,RUSSIAN FEDERATION,Completed,AO GENERIUM,"June 1, 2020",Interventional,A Prospective Open-label Study of the Tigerase® Efficacy and Safety as Part of Complex Therapy in Patients With COVID-19,COVID
2659,CORONAVIRUS,"February 08, 2021",500,NCT04459351,,UNITED KINGDOM,Recruiting,Chelsea and Westminster NHS Foundation Trust,"June 19, 2020",Observational,PHenotyping patiENts Admitted to Hospital With cOvid-19 Infection and idenTifYing Prognostic markErs,COVID
2660,"HYPERTENSION, PULMONARY","February 08, 2021",67,NCT04459364,,SWEDEN,Completed,Attgeno AB,"June 1, 2020",Observational [Patient Registry],"The Prevalence of Pulmonary Hypertension, With or Without Right Ventricular Loading, in Patients With COVID-19 Who Are Being Treated With a Respirator in the Intensive Care Unit.",Unrelated
2661,COVID,"February 08, 2021",100,NCT04459390,REALTIME PCR,EGYPT,Recruiting,Assiut University,"July 20, 2020",Observational,Impact of Comorbidities on COVID19 Outcome,COVID
2662,CORONAVIRUS INFECTION,"February 08, 2021",400,NCT04459403,,EGYPT,Completed,Cairo University,"June 8, 2020",Observational,Psychiatric Disturbances in Patients Infected With COVID-19: A Cross Sectional Study,COVID
2663,ANXIETY,"February 08, 2021",500,NCT04459455,CONTAIN COVID ANXIETY SSI,UNITED STATES,Completed,Stony Brook University,"August 19, 2020",Interventional,"Project HF-COVID: Evaluating Hyper-Brief, Online Materials During the COVID-19 Pandemic",Unrelated
2664,COVID,"February 08, 2021",1400,NCT04459520,POSITIVE COVID TEST RESULT - HYPOTHETICAL SCENARIO,UNITED STATES,Completed,"University of California, Los Angeles","July 23, 2020",Interventional,Effect of Availability of COVID-19 Testing on Choice to Isolate and Socially Distance,COVID
2665,NEUROMUSCULAR BLOCKADE,"February 08, 2021",250,NCT04459533,TOF PROTOCOL,FRANCE,Completed,Hospices Civils de Lyon,"June 1, 2020",Observational,The Use of Neuromuscular Blockade Monitor as a Strategy for Neuromuscular Blockade Agents Saving in ICU COVID-19 Patients,Unrelated
2666,COVID,"February 08, 2021",200,NCT04459637,,CHINA,Not yet recruiting,Peking University First Hospital,"July 1, 2020",Observational [Patient Registry],Surveillance of COVID-19 Using Smart Wearable Devices: a Prospective Study,COVID
2667,COVID,"February 08, 2021",100,NCT04459676,STANDARD OF CARE (SOC) + ANG-3777,BRAZIL,Recruiting,Angion Biomedica Corp,"July 31, 2020",Interventional,"A Multicenter, Prospective, Randomized, Double-Blind, Placebo-Controlled Phase 2 Study to Assess Safety and Efficacy of ANG- 3777 in Patients Hospitalized With Confirmed COVID-19 Pneumonia",COVID
2668,PRIMARY IMMUNE DEFICIENCY,"February 08, 2021",200,NCT04459689,,FRANCE,Recruiting,Imagine Institute,"March 15, 2020",Observational [Patient Registry],Worldwide COVID-19 in Children and Adult Patients With Primary ImmunoDeficiencies (PID) Survey,Unrelated
2669,COVID,"February 08, 2021",200,NCT04459702,HYDROXYCHLOROQUINE,UNITED STATES,Not yet recruiting,ProgenaBiome,July 2020,Interventional,"A Phase IIa Randomized, Controlled Study of Combination Therapies to Treat COVID-19 Infection",COVID
2670,COVID,"February 08, 2021",80,NCT04459819,RESPIRATORY PHYSIOTHERAPY,ITALY,Recruiting,"Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico","March 1, 2020",Observational,"Monocentric, Observational, Retrospective Study on Respiratory Physiotherapy in Severe COVID-19 Patients: the FTR-COVID Study.",COVID
2671,COVID INFECTION,"February 08, 2021",330,NCT04459962,BREATH TEST & CHEEK SWAB,UNITED KINGDOM,Completed,Ancon Technologies Ltd,"June 29, 2020",Interventional,Breath Test Feasibility Trial for Covid-19 Infection Diagnosis,COVID
2672,ON OCCURRENCE OF ACURATE KIDNEY INJURY DURING INTENSIVE CARE UNIT,"February 08, 2021",200,NCT04459975,NON INTERVENTIONAL STUDY,FRANCE,Recruiting,Hospices Civils de Lyon,"April 1, 2020",Observational,Acute Kidney Injury and Renal Outcomes for COVID-19 Patients in Intensive Care Units,Unrelated
2673,INTRUSIVE MEMORIES OF TRAUMATIC EVENT(S),"February 08, 2021",164,NCT04460014,SIMPLE COGNITIVE TASK INTERVENTION,SWEDEN,Recruiting,Karolinska Institutet,"September 30, 2020",Interventional,"Reducing Intrusive Memories After Trauma Via a Simple Cognitive Intervention During COVID-19 in Hospital Staff: ""EKUT-P"" (Enkel Kognitiv Uppgift Efter Trauma Under COVID-19 - sjukvårdspersonal) - A Randomized Controlled Trial (RCT)",Unrelated
2674,SUBSTANCE USE DISORDERS,"February 08, 2021",180,NCT04460027,WOEBOT SUBSTANCE USE DISORDER,UNITED STATES,Completed,Athena Robinson,"June 22, 2020",Interventional,Woebot for Substance Use Disorders During COVID-19,Unrelated
2675,COVID PNEUMONIA,"February 08, 2021",0,NCT04460105,LANADELUMAB,,Withdrawn,Shire,"October 31, 2020",Interventional,"A Phase 1b, Randomized, Double-blind, Single and Repeat Dosing Study to Evaluate the Safety, Pharmacokinetics, and Pharmacodynamics of Lanadelumab When Added to Standard-of-Care in Subjects Hospitalized With COVID-19 Pneumonia",COVID
2676,QUALITY OF LIFE,"February 08, 2021",100,NCT04460170,,NETHERLANDS,Recruiting,University Medical Center Groningen,"July 1, 2020",Observational [Patient Registry],COVID-19 Follow up Intensive Care Studies,Unrelated
2677,COVID,"February 08, 2021",300,NCT04460183,"RESP301, A NITRIC OXIDE GENERATING SOLUTION",UNITED KINGDOM,Recruiting,Thirty Respiratory Limited,"July 29, 2020",Interventional,"An Open-label, Adaptive Randomized, Controlled Multicenter Study to Evaluate the Efficacy and Safety of RESP301 Plus Standard of Care (SOC) Compared to SOC Alone in Hospitalized Participants With COVID-19 WHO Grade 3&4 (NOCoV2)",COVID
2678,EMERGENCY MEDICINE,"February 08, 2021",900,NCT04460196,SURVEY,FRANCE,Completed,"University Hospital, Angers","July 8, 2020",Observational [Patient Registry],Healthcare Renunciation During the Confinement Period in Connection With the COVID-19 Epidemic in Adult Emergency Departments,Unrelated
2679,COVID,"February 08, 2021",7882471,NCT04460274,MODEL BUILDING,TURKEY,Completed,Turkish Ministry of Health Izmir Teaching Hospital,"December 31, 2019",Observational,Time Series Model For Forecasting the Number of Covid-19 Cases Worldwide - A Prospective Cohort Study,COVID
2680,COVID,"February 08, 2021",60,NCT04460443,SOFOSBUVIR,EGYPT,Recruiting,Tanta University,"August 1, 2020",Interventional,Sofosbuvir Based Regimens in Treatment of COVID 19 Patients,COVID
2681,ANXIETY,"February 08, 2021",1500,NCT04460469,,EGYPT,Recruiting,Cairo University,"July 1, 2020",Observational,Self-assessment of Anxiety Level and Oral Hygiene Practice in Dental Students of Cairo University During Covid-19 Pandemic,Unrelated
2682,COVID,"February 08, 2021",100,NCT04460534,DIAGNOSTIC,FRANCE,Recruiting,GCS Ramsay Santé pour l'Enseignement et la Recherche,"May 7, 2020",Interventional,Detection of SARS-CoV-2 in the Semen of COVID+ Patients (Positive RT-PCR on a Nasopharyngeal Swab),COVID
2683,COVID,"February 08, 2021",200,NCT04460547,CONVALESCENT PLASMA TRANSFUSION,,Not yet recruiting,Qassim University,"July 25, 2020",Observational,Worldwide Trends on COVID-19 Research After the Declaration of COVID-19 Pandemic: An Observational Study,COVID
2684,ENCEPHALITIS,"February 08, 2021",30,NCT04460599,OBSERVATION,FRANCE,Recruiting,Centre d'Investigation Clinique et Technologique 805,"March 8, 2020",Observational,Description of neurolOgical Involvement Observed During SARS COV2 Infection,Unrelated
2685,SARS-CoV2,"February 08, 2021",600,NCT04460638,SALIVA COLLECTION,FRANCE,Recruiting,Direction Centrale du Service de Santé des Armées,"July 23, 2020",Observational,SARS-CoV2 (COVID-19) Diagnosis in Human Saliva by MALDI-TOF MS Profiling,COVID
2686,COVID,"February 08, 2021",2000,NCT04460651,ICOSAPENT ETHYL (IPE),ARGENTINA,Recruiting,Estudios Clínicos Latino América,"August 14, 2020",Interventional,PREPARE-IT. Prevention of COVID19 With EPA in Healthcare Providers at Risk - Intervention Trial,COVID
2687,COVID,"February 08, 2021",50,NCT04460664,QUANTRA SYSTEM,UNITED STATES,Enrolling by invitation,HemoSonics LLC,"August 14, 2020",Observational,Exploratory Assessment of the Coagulation Changes Associated With Severe Inflammation in COVID-19 Patients,COVID
2688,PSYCHOLOGICAL DISTRESS,"February 08, 2021",80,NCT04460677,EMOTIONAL SUPPORT PLAN,UNITED STATES,Recruiting,"Rutgers, The State University of New Jersey","August 12, 2020",Interventional,ASD (Autism Spectrum Disorder) Telehealth for Distress Related to COVID-19 (Coronavirus Disease),Unrelated
2689,COVID,"February 08, 2021",10000,NCT04460690,RAPID ONSITE COVID-19 DETECTION,UNITED STATES,Enrolling by invitation,"University of Wisconsin, Madison","July 13, 2020",Interventional,"Rapid, Onsite COVID-19 Detection",COVID
2690,VACCINATION,"February 08, 2021",4000,NCT04460703,CONTROL MESSAGE,UNITED STATES,Completed,Yale University,"July 3, 2020",Interventional,"Persuasive Messages for COVID-19 Vaccine Uptake: a Randomized Controlled Trial, Part 1",Unrelated
2691,COVID,"February 08, 2021",40,NCT04461340,SIROLIMUS,EGYPT,Recruiting,Alexandria University,"August 15, 2020",Interventional,Efficacy and Safety of Sirolimus for Treating COVID-19 Infection,COVID
2692,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,"February 08, 2021",12,NCT04461353,AEROLIZED HYDROXYCHLOROQUINE SULFATE,UNITED STATES,Completed,"Pulmoquine Therapeutics, Inc","June 25, 2020",Interventional,"A Phase 1 Randomized Double Blind Placebo Controlled, Single-Dose, Dose-Escalation Study to Evaluate the Safety, Tolerability and Pharmacokinetics of Orally Inhaled Aerosolized Hydroxychloroquine Sulfate in Healthy Adult Volunteers",COVID
2693,BCG,"February 08, 2021",908,NCT04461379,BCG VACCINE,MEXICO,"Active, not recruiting",Hospital Universitario Dr. Jose E. Gonzalez,"July 21, 2020",Interventional,"Prevention, Efficacy and Safety of BCG Vaccine in COVID-19- Randomized Clinical Trial",Unrelated
2694,SLEEP,"February 08, 2021",13,NCT04461769,TRANSCRANIAL ELECTRICAL STIMULATION,UNITED STATES,Completed,Brain Electrophysiology Laboratory Company,"September 1, 2019",Interventional,Electrical Synchronization of Slow Oscillations to Enhance Deep Sleep,Unrelated
2695,COVID PNEUMONIA,"February 08, 2021",30,NCT04461925,PLACENTA-DERIVED MMSCS; CRYOPRESERVED PLACENTA-DERIVED MULTIPOTENT MESENCHYMAL STROMAL CELLS,UKRAINE,Recruiting,Institute of Cell Therapy,"May 2, 2020",Interventional,Treatment of Coronavirus COVID-19 Pneumonia (Pathogen SARS-CoV-2) With Cryopreserved Allogeneic Multipotent Mesenchymal Stem Cells of the Placenta and Umbilical Cord,COVID
2696,COVID,"February 08, 2021",100,NCT04462120,,EGYPT,"Active, not recruiting",Assiut University,"June 16, 2020",Observational,Association Between IL-12RB and TNF-alpha Gene Polymorphism With Susceptibility and Progress of Covid-19 SARS-CoV-2: A Case Control Study,COVID
2697,OPIOID USE,"February 08, 2021",15,NCT04462250,PRESCRIPTION OPIOID MANAGEMENT APP,UNITED STATES,Not yet recruiting,"Rutgers, The State University of New Jersey","March 1, 2021",Interventional,"Development of a Mobile Health App to Improve the Safe Use, Storage, and Disposal of Opioid Medications",Unrelated
2698,COVID,"February 08, 2021",180,NCT04462367,,BRAZIL,Not yet recruiting,Instituto Materno Infantil Prof. Fernando Figueira,"July 1, 2020",Observational,Clinical and Laboratory Predictors of COVID-19 Progression and Maternal and Perinatal Outcomes in Infected Pregnant and Postpartum Women in Six Reference Centers in the Northeast of Brazil,COVID
2699,COVID,"February 08, 2021",1563,NCT04462393,ADMISSION TO ICU FOR COVID-19,SWEDEN,Completed,Linkoeping University,"March 6, 2020",Observational,Characteristics and Outcomes of Patients Admitted to Swedish Intensive Care Units for COVID-19 During the First 60 Days of the 2020 Pandemic,COVID
2700,COVID,"February 08, 2021",500,NCT04462627,BLOOD GROUP DETERMINATION,BELGIUM,Recruiting,Hanane EL KENZ,"April 14, 2020",Interventional,Reduction of COVID 19 Transmission to Health Care Professionals,COVID
2701,COVID,"February 08, 2021",5,NCT04462757,ANAKINRA 100MG/0.67ML INJ SYRINGE,UNITED KINGDOM,Suspended,University of Manchester,"May 28, 2020",Interventional,Subcutaneous and Intravenous IL-1Ra (Anakinra) in COVID-19 Infection - Feasibility & Pharmacokinetics/Pharmacodynamics Study,COVID
2702,COVID,"February 08, 2021",200,NCT04462783,SYMPTOMS ENTERED INTO THE COVIDX APPLICATION,,Not yet recruiting,University of Michigan,February 2021,Interventional,Feasibility of Self-monitoring and Patient Decision Support for Suspected COVID-19 Patients After Emergency Department Discharge,COVID
2703,CORONAVIRUS INFECTION,"February 08, 2021",30,NCT04462848,ANTI-SARS-COV-2 HUMAN CONVALESCENT PLASMA,UNITED STATES,Not yet recruiting,"University of California, Los Angeles",August 2020,Interventional,Phase I Study of the Safety and Pharmacokinetics of Human Convalescent Plasma in High Risk Children Exposed or Infected With SARS-CoV-2,COVID
2704,COVID,"February 08, 2021",60,NCT04463004,MAVRILIMUMAB,UNITED STATES,Recruiting,Virginia Commonwealth University,"September 2, 2020",Interventional,Mavrilimumab to Reduce Progression of Acute Respiratory Failure in Patients With Severe COVID-19 Pneumonia and Systemic Hyper-inflammation,COVID
2705,COVID,"February 08, 2021",135,NCT04463264,NITAZOXANIDE,ARGENTINA,Recruiting,Laboratorios Roemmers S.A.I.C.F.,"June 26, 2020",Interventional,"Efficacy and Safety Study of Nitazoxanide (NTX) in the Treatment of Patients With SARS-CoC-2 Virus Infection (COVID-19). A Pilot, Randomized, Simple Blind, Placebo-controlled, Parallel-group Study",COVID
2706,COVID,"February 08, 2021",224,NCT04463420,PHR160 SPRAY,"IRAN, ISLAMIC REPUBLIC OF",Recruiting,Baqiyatallah Medical Sciences University,"August 15, 2020",Interventional,Safety and Efficacy of PHR 160 Spray on the Outcomes of Patients With COVID-19 a Multi-center Randomized Blinding Clinical Trial Study,COVID
2707,PARENT-CHILD RELATIONSHIP AND COUPLE RELATIONSHIP UNDER COVID IN CHINA,"February 08, 2021",300,NCT04463433,COGNITIVE AND BEHAVIORAL INTERVENTION.,CHINA,Recruiting,Beijing Normal University,"February 1, 2020",Interventional,Psychological Intervention for Parent-child Relationship and Couple Relationship Under COVID-19 in China,COVID
2708,COVID,"February 08, 2021",30,NCT04463472,AG0301-COVID19,JAPAN,"Active, not recruiting","AnGes, Inc.","June 29, 2020",Interventional,"A Non-randomized, Open-label, Non-controlled Phase I/II Study to Assess Safety and Immunogenicity of Two Doses of Intramuscular AG0301-COVID19 (1mg/2mg) in Healthy Adults",COVID
2709,COVID,"February 08, 2021",24,NCT04463602,DESIDUSTAT,MEXICO,"Active, not recruiting",Cadila Healthcare Limited,"July 25, 2020",Interventional,"A Phase 2b, Multicenter, Open-label, Randomized, Comparator-Controlled, Study to Evaluate the Efficacy and Safety of Desidustat Tablet for the Management of COVID-19 Patients",COVID
2710,CYSTIC FIBROSIS IN CHILDREN,"February 08, 2021",1200,NCT04463628,QUESTIONNAIRE,FRANCE,Recruiting,Centre Hospitalier Intercommunal Creteil,"May 15, 2020",Observational,"Impacts of the Covid-19 Epidemic and Associated Lockdown Measures on the Management, Health and Behaviors of Cystic Fibrosis Patients During the 2020 Epidemic",Unrelated
2711,COVID,"February 08, 2021",20000,NCT04463706,PREDICTORS ADVERSE EVOLUTION,SPAIN,Recruiting,Hospital Galdakao-Usansolo,"June 1, 2020",Observational,Clinical Characterization of CoVid19 Infection: Prognostic Stratification and Complications,COVID
2712,COVID INFECTION,"February 08, 2021",3060,NCT04463758,AN AUTO-QUESTIONNAIRE COMPRISING THREE PSYCHOMETRIC SCALES,FRANCE,Recruiting,Assistance Publique - Hôpitaux de Paris,"May 11, 2020",Observational,Covid-19 in Pregnancy: a French Population-based Cohort of Women and Newborns,COVID
2713,COVID,"February 08, 2021",500,NCT04463823,,NORWAY,Not yet recruiting,Oslo University Hospital,"July 6, 2020",Observational,Covid-19 Convalescent Plasma Used for Treatment of Patients in Norway - a Monitoring Study,COVID
2714,COVID,"February 08, 2021",24,NCT04463849,STIMULATION TEST WITH ARGININE INFUSION IN ORDER TO VERIFY THE POSSIBLE EXISTENCE OF DAMAGE TO THE BETA CELL FUNCTION INDUCED BY COVID-19 INFECTION,ITALY,Recruiting,University of Milan,"June 30, 2020",Interventional,Effects of SARS-CoV-2 Infection on Beta-cell Function in Euglycemic Patients,COVID
2715,COVID CONFIRMED CASES,"February 08, 2021",250,NCT04463862,,BELGIUM,Recruiting,"University Hospital, Strasbourg, France","June 4, 2020",Observational [Patient Registry],Air Pollution and COVID-19 Mortality in Geriatric Patients: a Multicenter Study,COVID
2716,COVID,"February 08, 2021",70,NCT04464395,CPI-006,UNITED STATES,Recruiting,"Corvus Pharmaceuticals, Inc.","July 1, 2020",Interventional,Immunotherapy of COVID-19 With B-Cell Activating CPI-006 Monoclonal Antibody,COVID
2717,COVID,"February 08, 2021",576,NCT04464408,FAVIPIRAVIR,SAUDI ARABIA,Recruiting,King Abdullah International Medical Research Center,"July 23, 2020",Interventional,A Trial of Favipiravir Therapy in Adults With Mild Coronavirus Disease COVID-19,COVID
2718,CORONAVIRUS DISEASE,"February 08, 2021",0,NCT04464460,TAK-671,,Withdrawn,Takeda,"September 25, 2020",Interventional,"A Randomized, Double-blind, Placebo-Controlled Multicenter Phase 1b Study to Evaluate the Safety, Pharmacokinetics, and Efficacy of 2 Different Intravenous Doses of TAK-671 for the Treatment of Coronavirus Disease 2019 in Adults",COVID
2719,ONCOLOGY,"February 08, 2021",300,NCT04464486,SCH INTERVENTION,UNITED STATES,Enrolling by invitation,University of Utah,"April 21, 2020",Interventional,Remote COVID-19 Symptom Tracking and Improved Cancer Symptom Control for Cancer Patients at Home During the Pandemic,Unrelated
2720,COVID,"February 08, 2021",50,NCT04465058,COVID19,EGYPT,Recruiting,Assiut University,"July 8, 2020",Observational,Clinical Characteristics and Outcome in Critically Ill COVID 19 Patients,COVID
2721,MENTAL HEALTH ISSUE,"February 08, 2021",5000,NCT04465435,WEB-BASED SELF-REPORT QUESTIONNAIRES,SWEDEN,Enrolling by invitation,Sophiahemmet University,"August 19, 2019",Observational,Sustainable UNiversity Life (SUN): Mental Illness and Pain Conditions Among Students - a Cohort Study to Identify Modifiable Risk and Prognostic Factors,Unrelated
2722,COVID,"February 08, 2021",3000,NCT04465474,NON INTERVENTION,CHINA,Recruiting,Chinese University of Hong Kong,"May 1, 2020",Observational [Patient Registry],"Coronavirus Disease 2019 (COVID-19) During Pregnancy: Prevalence of Seroconversion, Effect on Maternal and Perinatal Outcomes and Risk of Vertical Transmission (COVID-MAP)",COVID
2723,ASTHMA; EOSINOPHILIC,"February 08, 2021",100,NCT04465513,BEST STANDARD OF CARE + CARDIO,CANADA,Not yet recruiting,Hofseth Biocare ASA,"August 31, 2020",Interventional,"Randomized, Open-label, Parallel Study to Investigate Safety and Efficacy of CARDIO Softgels Plus Best Standard-of-care vs. Best Standard-of-care Alone on a Former Smoker and/or Steroid-resistant Asthma Population With COVID-19 Infection",Unrelated
2724,CORONAVIRUS INFECTION,"February 08, 2021",750,NCT04465552,PATIENTS RECEIVED STANDARD OF CARE TREATMENT DURING HOSPITALIZATION,UNITED STATES,Recruiting,Kansas City Heart Rhythm Research Foundation,"July 10, 2020",Observational,Arrhythmic Manifestations and Management Strategies in Hospitalized COVID-19 Patients: Proposal for a Multicenter Registry,COVID
2725,COVID,"February 08, 2021",50,NCT04465604,WEARING SURGICAL FACE MASK SPRAYED WITH HYPERTONIC SALINE,SAUDI ARABIA,Recruiting,King Faisal Specialist Hospital & Research Center,"July 1, 2020",Interventional,HYPERTONIC SALINE COATED FACE MASK FOR REDUCING RESPIRATORY SYMPTOM SEVERITY IN PATIENTS WITH COVID-19,COVID
2726,PULMONARY EMBOLISM,"February 08, 2021",250,NCT04465656,SEROLOGY TEST FOR COVID-19,FRANCE,Recruiting,"Hospital St. Joseph, Marseille, France","July 7, 2020",Observational,Registry of the Evolution of Diagnosed and/or Hospitalized Patients for Pulmonary Embolism During the Covid-19 Pandemic: Retrospective and Prospective Multicentric Study.,Unrelated
2727,COVID,"February 08, 2021",81,NCT04465695,INTERFERON BETA-1B,CHINA,Recruiting,The University of Hong Kong,"July 14, 2020",Interventional,"An Open-label Randomised Controlled Trial on Dual Therapy With Interferon Beta-1b and Clofazimine Combination, as Treatment for COVID-19 Infection",COVID
2728,COVID,"February 08, 2021",80,NCT04465981,SAMPLING,UNITED STATES,Recruiting,INanoBio Inc.,July 2020,Observational,"A Longitudinal, Non-randomized Study to Evaluate the Utility of the INanoBio's Protein Arrays in Detecting Unique Antibodies in COVID-19 Patients",COVID
2729,ACUTE RESPIRATORY DISTRESS SYNDROME,"February 08, 2021",30,NCT04466098,MESENCHYMAL STROMAL CELLS,UNITED STATES,Recruiting,"Masonic Cancer Center, University of Minnesota","July 30, 2020",Interventional,"Multi-center, Randomized, Placebo Controlled, Interventional Phase 2A Clinical Trial Evaluating the Safety and Potential Efficacy of Multiple Dosing of Mesenchymal Stromal Cells in Patients With Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-Cov-2)",Respiratory
2730,COVID,"February 08, 2021",294,NCT04466241,LOPINAVIR/RITONAVIR 200 MG-50 MG ORAL TABLET,CÔTE D'IVOIRE,Recruiting,French National Institute for Health and Medical Research-French National Agency for Research on AIDS and Viral Hepatitis (Inserm-ANRS),"November 27, 2020",Interventional,Combination Therapies to Reduce the Nasopharyngeal Carriage of SARS-CoV-2 and Improve the Outcome of COVID-19 Infection in Ivory Coast (INTENSE-COV): a Phase IIb Randomized Clinical Trial,COVID
2731,COVID,"February 08, 2021",180,NCT04466280,HYDROXYCHLOROQUINE,"IRAN, ISLAMIC REPUBLIC OF",Recruiting,Baqiyatallah Medical Sciences University,"July 15, 2020",Interventional,"Efficacy and Safety of Mucoadhesive Sustained Release, Mucodentol, in Comparison With Hydroxychloroquine to Prevent COVID-19 Disease in Healthcare Providers at Baqiyatallah Hospital in Tehran",COVID
2732,ACUTE KIDNEY INJURY,"February 08, 2021",250,NCT04466306,,CANADA,Enrolling by invitation,Children's Healthcare of Atlanta,"April 15, 2020",Observational [Patient Registry],SARS-CoV2 Pediatric Acute Kidney Injury Registry and Collaborative,Unrelated
2733,COVID,"February 08, 2021",9209,NCT04466371,QUESTIONNAIRE,,Not yet recruiting,Misr International University,"October 15, 2020",Observational,Perceptions of Undergraduate Students and Teaching Staff on Online Teaching and Learning in the Wake of COVID-19 Pandemic in an Egyptian Private University: A Cross-Sectional Study,COVID
2734,SARS-CoV2 INFECTION,"February 08, 2021",1000,NCT04466462,,SPAIN,Completed,"Fundación FLS de Lucha Contra el Sida, las Enfermedades Infecciosas y la Promoción de la Salud y la Ciencia","May 26, 2020",Observational,Cross-sectional Study of COVID-19 Infection in Hospital Health Personnel,COVID
2735,COVID,"February 08, 2021",1300,NCT04466540,HYDROXYCHLOROQUINE,BRAZIL,Recruiting,Hospital Alemão Oswaldo Cruz,"May 12, 2020",Interventional,"Pragmatic, Double-blind, Placebo-controlled Randomized Clinical Trial, Evaluating Hydroxychloroquine for Prevention of Hospitalization and Respiratory Complications in Non-hospitalized Patients With Confirmed or Probable COVID-19",COVID
2736,CHRONIC MUSCULOSKELETAL PAIN,"February 08, 2021",64,NCT04466605,TELE-YOGA THERAPY,INDIA,Completed,Aarogyam UK,"March 30, 2020",Interventional,Effect of Tele-Yoga Therapy on Patients With Chronic Musculoskeletal Pain During Covid-19 Lockdown: Randomized Clinical Trial,Unrelated
2737,COVID,"February 08, 2021",340,NCT04466644,ELISA,UNITED STATES,Completed,Igenomix,"June 8, 2020",Observational,"A Multicenter, Prevalence Study to Evaluate the Infectious and Immunological Status of COVID-19 in Asymptomatic Subjects Attending ART Centres After the Pandemic Lockdown in the USA",COVID
2738,COVID,"February 08, 2021",90,NCT04466657,ANTIOXIDATION THERAPY,NIGERIA,Not yet recruiting,Obafemi Awolowo University,"November 1, 2020",Interventional,A Study to Evaluate Antioxidant Therapy for Moderate to Severe COVID-19 With or Without Comorbidities,COVID
2739,COVID,"February 08, 2021",310,NCT04466670,UNFRACTIONATED HEPARIN,BRAZIL,Recruiting,University of Sao Paulo General Hospital,"July 8, 2020",Interventional,Dynamics of Hemostatic Parameters in COVID-19 and Comparison of Intervention Strategies Through Adaptive Clinical Trial,COVID
2740,COVID,"February 08, 2021",100,NCT04466683,LOW DOSE RADIATION 35 CGY,UNITED STATES,Recruiting,Ohio State University Comprehensive Cancer Center,"August 28, 2020",Interventional,Phase II Protocol of Low-Dose Whole Thorax Megavoltage Radiotherapy for Patients With SARS-COV-2 Pneumonia,COVID
2741,COVID,"February 08, 2021",160,NCT04466800,INTERVENTION GROUP_REHABILITATION PROGRAM,FRANCE,Recruiting,Rennes University Hospital,"July 30, 2020",Interventional,Functional and Respiratory Rehabilitation and Nutritional Care of COVID-19 Patients,COVID
2742,PARKINSON DISEASE,"February 08, 2021",411,NCT04466839,QUESTIONNAIRE AND INTERVIEW,FRANCE,Completed,"University Hospital, Toulouse","July 2, 2020",Observational,Evaluation of the Containment Impact Linked to the Covid-19 Pandemic in a Population of Parkinson Patients,Unrelated
2743,OLFACTORY DISORDER,"February 08, 2021",90,NCT04466982,,UNITED KINGDOM,Recruiting,Cambridge University Hospitals NHS Foundation Trust,"July 2, 2020",Observational,"Objective Assessment of Olfactory Dysfunction and Impact on Quality of Life in SARS CoV-2 (COVID-19)Infection Using the UPSIT, eQOD and SNOT-22 Questionnaires: A Prospective Observational Cohort Study",Unrelated
2744,COVID,"February 08, 2021",113,NCT04467008,,FRANCE,Completed,CMC Ambroise Paré,"July 15, 2020",Observational,Evaluation of Covid-19 Rapid Diagnostic Tests on Blood Drop,COVID
2745,COVID,"February 08, 2021",10,NCT04467047,MESENCHYMAL STROMAL CELLS INFUSION,,Not yet recruiting,Hospital de Clinicas de Porto Alegre,"July 25, 2020",Interventional,Safety and Feasibility of Allogenic Mesenchymal Stromal Cells in the Treatment of COVID-19,COVID
2746,MECHANICAL VENTILATION,"February 08, 2021",108,NCT04467086,PROPRANOLOL HYDROCHLORIDE,CANADA,Recruiting,Ottawa Hospital Research Institute,"December 11, 2020",Interventional,Propranolol as an Anxiolytic to Reduce the Use of Sedatives From Critically-ill Adults Receiving Mechanical Ventilation: An Open-label Randomized Controlled Trial (PROACTIVE),Unrelated
2747,COVID,"February 08, 2021",100,NCT04467112,BREATH BIOPSY FACE MASKS WITH REMOVABLE FILTERS AND FITTED PVA STRIP,UNITED KINGDOM,Recruiting,Owlstone Ltd,"July 30, 2020",Observational,Non Inferiority Trial for Detection of nCOVID-19 Through Analysis of Exhaled Breath Aerosols,COVID
2748,COVID,"February 08, 2021",0,NCT04467151,ANTI-SARS-COV-2 PLASMA,,Withdrawn,Kashif Khan,October 2020,Interventional,"A Randomized, Double-blind, Placebo-controlled Trial of Anti-SARS-CoV-2 Plasma in Hospitalized Non-ICU Patients With COVID-19",COVID
2749,COVID,"February 08, 2021",270,NCT04467840,OPAGANIB,BRAZIL,Recruiting,RedHill Biopharma Limited,"August 21, 2020",Interventional,"Opaganib, a Sphingosine Kinase-2 (SK2) Inhibitor in COVID-19 Pneumonia: a Randomized, Double-blind, Placebo-Controlled Phase 2/3 Study, in Adult Subjects Hospitalized With Severe SARS-CoV-2 Positive Pneumonia",COVID
